,Lon,Lat
0,79.55,10.05
1,79.55,9.95
2,79.55,9.85
3,79.55,9.75
4,79.55,9.65
5,79.55,9.55
6,79.55,9.45
7,79.55,9.35
8,79.55,9.25
9,79.55,9.15
10,79.55,9.05
11,79.55,8.95
12,79.55,8.85
13,79.55,8.75
14,79.55,8.65
15,79.55,8.55
16,79.55,8.45
17,79.55,8.35
18,79.55,8.25
19,79.55,8.15
20,79.55,8.05
21,79.55,7.95
22,79.55,7.85
23,79.55,7.75
24,79.55,7.65
25,79.55,7.55
26,79.55,7.45
27,79.55,7.35
28,79.55,7.25
29,79.55,7.15
30,79.55,7.05
31,79.55,6.95
32,79.55,6.85
33,79.55,6.75
34,79.55,6.65
35,79.55,6.55
36,79.55,6.45
37,79.55,6.35
38,79.55,6.25
39,79.55,6.15
40,79.55,6.05
41,79.55,5.95
42,79.55,5.85
43,79.55,5.75
44,79.65,10.05
45,79.65,9.95
46,79.65,9.85
47,79.65,9.75
48,79.65,9.65
49,79.65,9.55
50,79.65,9.45
51,79.65,9.35
52,79.65,9.25
53,79.65,9.15
54,79.65,9.05
55,79.65,8.95
56,79.65,8.85
57,79.65,8.75
58,79.65,8.65
59,79.65,8.55
60,79.65,8.45
61,79.65,8.35
62,79.65,8.25
63,79.65,8.15
64,79.65,8.05
65,79.65,7.95
66,79.65,7.85
67,79.65,7.75
68,79.65,7.65
69,79.65,7.55
70,79.65,7.45
71,79.65,7.35
72,79.65,7.25
73,79.65,7.15
74,79.65,7.05
75,79.65,6.95
76,79.65,6.85
77,79.65,6.75
78,79.65,6.65
79,79.65,6.55
80,79.65,6.45
81,79.65,6.35
82,79.65,6.25
83,79.65,6.15
84,79.65,6.05
85,79.65,5.95
86,79.65,5.85
87,79.65,5.75
88,79.75,10.05
89,79.75,9.95
90,79.75,9.85
91,79.75,9.75
92,79.75,9.65
93,79.75,9.55
94,79.75,9.45
95,79.75,9.35
96,79.75,9.25
97,79.75,9.15
98,79.75,9.05
99,79.75,8.95
100,79.75,8.85
101,79.75,8.75
102,79.75,8.65
103,79.75,8.55
104,79.75,8.45
105,79.75,8.35
106,79.75,8.25
107,79.75,8.15
108,79.75,8.05
109,79.75,7.95
110,79.75,7.85
111,79.75,7.75
112,79.75,7.65
113,79.75,7.55
114,79.75,7.45
115,79.75,7.35
116,79.75,7.25
117,79.75,7.15
118,79.75,7.05
119,79.75,6.95
120,79.75,6.85
121,79.75,6.75
